,start_time,end_time,choice_type,reward_type,outcome,exp_outcome,Q_CP,Q_CG,Q_PE,epsilon,P_CP,P_CG,P_CP_sf,P_CG_sf,motivation
0,2.695,3.138,2.0,0.0,3,2,0.0054025392156861664,0.01021600263398665,0.0,0.9999962733607158,0.4999999896857313,0.5000000103142688,0.4972322868034465,0.5027677131965536,-1.0
1,9.052,13.967,2.0,1.0,4,2,0.012587707282913127,0.02725883257796436,0.0,0.9999962733607158,0.4999999685654373,0.5000000314345627,0.49156490331115527,0.5084350966888448,-1.0
2,21.366,21.367,1.0,1.0,2,1,0.025114148782589968,0.04831802094200236,0.1,0.9999546021312976,0.49999939443507957,0.5000006055649204,0.48666093942868066,0.5133390605713194,1.0
3,27.872,27.904,2.0,0.0,3,2,0.04258455225166994,0.07226215345888096,0.0,0.9999962733607158,0.49999993643099405,0.500000063569006,0.4829420018727764,0.5170579981272235,-1.0
4,33.442,34.793,2.0,0.0,3,2,0.06460160622710627,0.09795981586138042,0.010000000000000009,0.9999952149055051,0.49999990826224067,0.5000000917377594,0.4808284330765623,0.5191715669234377,-1.0
5,39.387,40.444,2.0,1.0,4,2,0.09076799924585223,0.12427959388228108,0.019000000000000003,0.9999940075247001,0.49999988458712474,0.5000001154128753,0.4807403669628194,0.5192596330371806,-1.0
6,47.422,49.083,2.0,0.0,3,2,0.12068641984486105,0.15009007325436322,0.07289999999999999,0.999976942582911,0.499999610314438,0.5000003896855619,0.4830993402046127,0.5169006597953872,-1.0
7,54.263,54.333,1.0,1.0,2,1,0.15395955656108695,0.17425983971040832,0.05560999999999999,0.9999850345293272,0.49999982534483517,0.5000001746551649,0.48832945727715477,0.5116705427228452,1.0
8,61.037,64.872,2.0,1.0,4,2,0.19118403438914144,0.1927142193755668,0.034390000000000004,0.9999911955986177,0.49999999225339936,0.5000000077466006,0.4991201445409888,0.5008798554590111,-1.0
9,72.774,72.775,1.0,1.0,2,1,0.2275730327601824,0.20246324333936774,0.05004900000000001,0.9999869769282453,0.5000001879765444,0.49999981202345556,0.5144341172335387,0.48556588276646134,1.0
10,79.426,80.91,1.0,1.0,2,1,0.26238745708597444,0.21559343024434519,0.030951000000000006,0.999991920924248,0.5000002171705894,0.49999978282941054,0.5268806229971565,0.47311937700284334,1.0
11,88.472,89.545,1.0,1.0,2,1,0.31094189077828244,0.22556381419185656,0.10385100000000003,0.9999500143696519,0.500002446059099,0.49999755394090095,0.5489352456296239,0.451064754370376,1.0
12,96.378,99.535,2.0,0.0,3,2,0.36192834478733255,0.22179528401158505,0.16946100000000003,0.9997423047128235,0.5000205862840259,0.4999794137159741,0.5798861486815331,0.42011385131846685,-1.0
13,105.375,106.426,2.0,0.0,3,2,0.4110976535927627,0.21547252200318684,0.19346590000000002,0.9995304905443596,0.5000519392233617,0.4999480607766383,0.6106244458716503,0.3893755541283498,-1.0
14,111.612,112.712,1.0,1.0,2,1,0.45116205960362266,0.21502588434922304,0.21507031000000004,0.9991945005788827,0.5001067579374704,0.49989324206252955,0.6325363304697847,0.3674636695302153,1.0
15,119.25,121.697,1.0,1.0,2,1,0.48070841656543284,0.21104176440706915,0.27411931000000006,0.9964843788858002,0.5005282980349564,0.49947170196504365,0.6502716071486048,0.3497283928513952,1.0
16,129.023,131.861,1.0,1.0,2,1,0.5125732112498674,0.19862864871534783,0.3272634100000001,0.986854131993029,0.5022750663912603,0.49772493360873965,0.6730632309752318,0.32693676902476826,1.0
17,150.031,150.033,2.0,0.0,3,2,0.533767387157578,0.1987311763904003,0.3750931000000001,0.9578183357031294,0.5077465384836704,0.4922534615163296,0.6836470564354925,0.31635294356450755,-1.0
18,155.904,159.402,2.0,1.0,4,2,0.5558437823830713,0.20694698531698696,0.39453706900000013,0.9331786034597163,0.5127295439087771,0.4872704560912228,0.6905010156605011,0.3094989843394988,-1.0
19,166.087,167.878,2.0,0.0,3,2,0.5794212258502389,0.22062301477391,0.3120366411000001,0.9909785156543819,0.5017623166687661,0.49823768333123386,0.6953466415559556,0.30465335844404445,-1.0
20,173.719,173.72,1.0,1.0,2,1,0.6053406550802571,0.2375887490261186,0.3377862559900001,0.9829656720756987,0.5034016109955373,0.4965983890044627,0.6996915294019063,0.3003084705980936,1.0
21,179.824,183.36,1.0,1.0,2,1,0.6264668899472436,0.2527842074414787,0.38083297699000007,0.951624432708054,0.5097984685300745,0.49020153146992557,0.702549945738947,0.29745005426105303,1.0
22,189.946,193.439,2.0,1.0,4,2,0.6451397343529162,0.2619207838449458,0.41957502589000006,0.8819080616835963,0.5244583749326504,0.47554162506734965,0.7071129941750895,0.2928870058249104,-1.0
23,200.821,203.658,1.0,1.0,2,1,0.6581512195054077,0.2608212312284577,0.3427496792910001,0.9807585220909332,0.5041136197548486,0.49588638024515147,0.7137891784762621,0.2862108215237378,1.0
24,210.375,215.524,2.0,0.0,3,2,0.6646435719026893,0.2597342051901304,0.37761752330100007,0.9551935512687327,0.5097381098198437,0.49026189018015626,0.7173372381785794,0.2826627618214206,-1.0
25,220.222,221.855,2.0,0.0,3,2,0.6715695259397734,0.2527986541086809,0.40847471136190006,0.9078893732284966,0.5206103646911764,0.47938963530882367,0.7237566436531149,0.27624335634688507,-1.0
26,226.455,232.779,2.0,0.0,3,2,0.6747720480495364,0.2483158493560437,0.43624618061671006,0.831156448149726,0.538374204434382,0.46162579556561795,0.7272766949869146,0.27272330501308534,-1.0
27,238.945,239.666,2.0,0.0,3,2,0.6710407657272115,0.2528805872804485,0.461240502946039,0.7249176243829509,0.5614742348697519,0.4385257651302481,0.7234757306128988,0.27652426938710123,-1.0
28,244.033,244.609,1.0,0.0,1,1,0.6618624410102218,0.2565511007284159,0.4837353930424352,0.60027598402903,0.5869498323699255,0.4130501676300745,0.717524664257952,0.282475335742048,1.0
29,249.922,250.495,2.0,1.0,4,2,0.6612047353910717,0.26035910514093735,0.41511645265143515,0.8930316172775274,0.5230450797647159,0.47695492023528413,0.7154382367779263,0.2845617632220736,-1.0
30,257.633,260.431,1.0,1.0,2,1,0.6610769781580869,0.265767559429751,0.3353618537381916,0.9839513805661698,0.5034157691836001,0.49658423081639996,0.7128388175496068,0.28716118245039324,1.0
31,267.45,268.624,2.0,1.0,4,2,0.6587646498304092,0.27347015219247395,0.37360480738629165,0.9592962538431227,0.5084704773033145,0.49152952269668554,0.7081006812166182,0.2918993187833819,-1.0
32,275.65,277.005,2.0,0.0,3,2,0.6566387930995116,0.2874721331229379,0.30182566836437247,0.9929967863480281,0.5014032676199291,0.49859673238007085,0.7003748121455659,0.2996251878544341,-1.0
33,282.685,282.686,1.0,1.0,2,1,0.6548857988184762,0.3030531387315503,0.33722444324464523,0.9831992607653827,0.5032247712793024,0.49677522872069757,0.6919422255336171,0.3080577744663829,1.0
34,289.042,295.338,1.0,1.0,2,1,0.655604560884862,0.31781896278254057,0.3716431015279353,0.9611686680654488,0.5071843047977788,0.49281569520222124,0.6850130922598188,0.3149869077401813,1.0
35,302.118,304.323,1.0,0.0,1,1,0.6622058442822135,0.33181824777988245,0.40261989398289627,0.9194207478102161,0.5146114495554321,0.4853885504445679,0.6813301707121648,0.3186698292878352,1.0
36,308.913,309.772,2.0,0.0,3,2,0.6741648007361176,0.34013705871577554,0.3304990071923612,0.9857623413440251,0.5026075588511448,0.4973924411488551,0.6831452006366647,0.3168547993633354,-1.0
37,314.306,315.583,2.0,1.0,4,2,0.6796497459526054,0.3391088195176865,0.3623579045846067,0.9689631804139691,0.5057846075761842,0.49421539242381585,0.68637887687396,0.31362112312603996,-1.0
38,323.4,325.354,1.0,1.0,2,1,0.6840439041823805,0.33898396591819147,0.2910309122376276,0.9946443182320173,0.5010101453944038,0.4989898546055962,0.688611915002614,0.311388084997386,1.0
39,333.237,334.784,1.0,1.0,2,1,0.694244603543271,0.32905043428456276,0.32612211412614606,0.9872191885147977,0.5025364027403534,0.49746359725964656,0.69845396697151,0.30154603302849,1.0
40,342.497,342.498,1.0,1.0,2,1,0.7048500755925514,0.32836402288055805,0.35770419582581264,0.9722774516083752,0.5056525054435371,0.4943474945564629,0.7038955929911834,0.29610440700881663,1.0
41,349.087,353.974,2.0,0.0,3,2,0.7159858620757925,0.3268929272315356,0.3861280693555125,0.9451529449246342,0.511512569974237,0.488487430025763,0.7099031563028766,0.2900968436971234,-1.0
42,358.47,359.687,2.0,0.0,3,2,0.7334038837357668,0.32930026249841926,0.42193377624323136,0.8756270552902099,0.5269841183436392,0.47301588165636077,0.7169613207004428,0.28303867929955717,-1.0
43,365.003,368.246,1.0,1.0,2,1,0.75649451427545,0.3305299347275308,0.4541589124421783,0.7587845188329008,0.5547685451258122,0.4452314548741878,0.7270523635581743,0.2729476364418257,1.0
44,375.068,377.168,1.0,1.0,2,1,0.7742531549321172,0.33281820003187107,0.47974039861890827,0.6239832968638919,0.5880090268792646,0.41199097312073535,0.7340561633173186,0.26594383668268134,1.0
45,384.419,385.521,2.0,1.0,4,2,0.7888957626648682,0.32749165772001576,0.5027637361779652,0.48273351737759107,0.6256571791131162,0.37434282088688375,0.742925423035466,0.2570745769645339,-1.0
46,393.5,396.796,1.0,1.0,2,1,0.8066677035600697,0.32662364119012965,0.43176635875701747,0.8462960683949713,0.538583957465773,0.4614160425342269,0.7510277847994276,0.24897221520057244,1.0
47,404.662,406.61,1.0,1.0,2,1,0.8193005893776644,0.3278374275687148,0.4524873625601687,0.7663502185751526,0.5597924516393381,0.4402075483606619,0.7559063024784815,0.24409369752151852,1.0
48,424.378,424.38,2.0,0.0,3,2,0.82627488942495,0.32794255812885764,0.4711362659830048,0.6729577871500256,0.5846416724017578,0.41535832759824215,0.7588096248008998,0.24119037519910025,-1.0
49,428.968,430.064,1.0,1.0,2,1,0.8316144050500536,0.3296553776976543,0.5072386263041518,0.4548816485671162,0.6419122687218135,0.35808773127818644,0.7603329503561689,0.2396670496438311,1.0
50,436.798,437.342,2.0,0.0,3,2,0.8313961073376974,0.32547079370600135,0.5240226393847043,0.3542142160908519,0.6691902934346773,0.3308097065653227,0.7619913563450008,0.23800864365499927,-1.0
51,441.569,444.403,1.0,1.0,2,1,0.8277057566417182,0.3088402126962973,0.5565147636737366,0.19578191962611013,0.7150052499473463,0.28499475005265373,0.7673469487870602,0.23265305121293967,1.0
52,451.626,453.133,1.0,0.0,1,1,0.8221289241737113,0.2923952550667267,0.5716203754462339,0.14301028260429904,0.7329123604265988,0.2670876395734013,0.7717796441413488,0.22822035585865116,1.0
53,459.183,461.514,2.0,0.0,3,2,0.8167806740118573,0.2759263769107754,0.4852154260414813,0.5913657882602248,0.6128865925901272,0.3871134074098728,0.7762534054833744,0.2237465945166256,-1.0
54,466.578,469.319,1.0,1.0,2,1,0.8177543252908783,0.269054440426368,0.5144583379016104,0.41060656282229024,0.664659951712187,0.33534004828781305,0.779371878486899,0.2206281215131009,1.0
55,476.65,479.224,2.0,0.0,3,2,0.8146780659926546,0.26720083232723985,0.5366938834373332,0.2854987520618114,0.699265791603306,0.30073420839669396,0.7788879546093452,0.22111204539065485,-1.0
56,483.629,484.264,1.0,1.0,2,1,0.810600760055045,0.27079851890978124,0.5630125041114493,0.17146035653032354,0.7285384563947384,0.27146154360526153,0.7758328562743089,0.22416714372569108,1.0
57,491.003,491.311,2.0,1.0,4,2,0.8059424447494309,0.2752816781182235,0.5830244950935998,0.11148986372681724,0.7418124807308846,0.25818751926911543,0.7721550051698415,0.22784499483015855,-1.0
58,497.769,498.508,1.0,1.0,2,1,0.8044379562361658,0.28330495996102767,0.5067112537003043,0.45815278695159534,0.6453649749057002,0.35463502509429967,0.7682766864996581,0.23172331350034187,1.0
59,506.528,509.789,1.0,1.0,2,1,0.8072435591325504,0.29268639121852724,0.5247220455842398,0.3502248189542503,0.6725628784885396,0.32743712151146037,0.7655732067371618,0.2344267932628382,1.0
60,516.082,516.513,1.0,0.0,1,1,0.8224447362931414,0.30147880697965523,0.5409317582797818,0.26438627444657825,0.6972976859112652,0.30270231408873494,0.7682082716208603,0.23179172837913978,1.0
61,522.488,522.728,1.0,1.0,2,1,0.8245072138600824,0.30977783053750674,0.45552049970576947,0.7524994585408731,0.5657471048316529,0.43425289516834703,0.7656442868530479,0.23435571314695214,1.0
62,530.791,531.842,1.0,1.0,2,1,0.8227205073498582,0.3156196859943817,0.4786503669891584,0.6303551766493072,0.597024871360502,0.402975128639498,0.7624813475838985,0.23751865241610146,1.0
63,539.739,541.308,1.0,1.0,2,1,0.8200780103310557,0.31904258236732863,0.49946724754420846,0.5033296536280334,0.629107289027532,0.37089271097246806,0.7599456359144922,0.2400543640855079,1.0
64,548.34,552.732,1.0,1.0,2,1,0.8136230312793088,0.3132055919435601,0.5182024400437535,0.38815814366430146,0.6588869119729086,0.3411130880270914,0.7596862413507917,0.24031375864920831,1.0
65,559.485,560.9,2.0,0.0,3,2,0.8089977696092773,0.29459672274313997,0.535064113293344,0.2938822498020722,0.6874804457809929,0.3125195542190072,0.7655087564764393,0.23449124352356066,-1.0
66,566.208,569.894,1.0,0.0,1,1,0.8035412029490319,0.2838464701413018,0.5663821960393781,0.15982175523918185,0.7249050017528977,0.27509499824710226,0.7676872475041575,0.23231275249584252,1.0
67,575.781,576.84,1.0,1.0,2,1,0.8011139002232615,0.275637726479185,0.4815577019640096,0.6132650028867443,0.6044378986748131,0.39556210132518693,0.7700502914253409,0.2299497085746591,1.0
68,584.898,587.87,2.0,0.0,3,2,0.8039190234488501,0.27004020113745575,0.5052156572961779,0.46744824903942406,0.645628696514359,0.35437130348564105,0.7734545445615099,0.22654545543849006,-1.0
69,603.339,603.4,2.0,0.0,3,2,0.8010793671391279,0.26927991837369836,0.5334019317676086,0.30257869423376693,0.690127813526361,0.309872186473639,0.7726154362569609,0.227384563743039,-1.0
70,609.473,611.005,1.0,1.0,2,1,0.8009975916915621,0.2714140270167887,0.5587695787918963,0.1870582383351328,0.7208915837437162,0.2791084162562839,0.7717188292693198,0.22828117073068027,1.0
71,617.816,621.057,2.0,1.0,4,2,0.8043036913375765,0.27497738257602755,0.5800617385908478,0.11904096334470504,0.7392813146809922,0.2607186853190076,0.7716145753944054,0.22838542460559455,-1.0
72,629.099,629.1,1.0,1.0,2,1,0.8116910842885654,0.27187595304368656,0.5028926209127066,0.48192899385562415,0.6429036765996403,0.3570963234003597,0.7758380123666214,0.22416198763337866,1.0
73,636.209,638.698,1.0,1.0,2,1,0.8229241677936092,0.27298789063243556,0.522055564731763,0.3655421830198773,0.6775596618740763,0.32244033812592365,0.779860468453554,0.22013953154644605,1.0
74,646.672,647.397,1.0,1.0,2,1,0.8385114458371272,0.2762129316726012,0.5393022141689137,0.2723850398863563,0.707154131326845,0.292845868673155,0.7847029578590444,0.21529704214095555,1.0
75,653.562,657.505,2.0,0.0,3,2,0.8526437813853444,0.27970594750327016,0.5548241986623493,0.20252212256628788,0.7303182226562197,0.2696817773437803,0.7888082907044205,0.21119170929557954,-1.0
76,662.065,668.173,2.0,0.0,3,2,0.8607625891858266,0.28357083925923154,0.5853719927520223,0.10580748601613998,0.7597035514378371,0.24029644856216303,0.7904336005686183,0.20956639943138178,-1.0
77,674.347,676.205,2.0,0.0,3,2,0.8626043276251945,0.28400879314846106,0.612865007432728,0.056166717025052604,0.7746252152290612,0.22537478477093878,0.7909679285344198,0.2090320714655803,-1.0
78,680.954,682.587,2.0,1.0,4,2,0.8592420960082645,0.2793458068390883,0.6376087206453631,0.031061921840009332,0.7824087702064566,0.21759122979354348,0.791462144560104,0.20853785543989603,-1.0
79,689.842,691.562,1.0,1.0,2,1,0.8554940116100246,0.27290036451896477,0.5598780625367348,0.18288062754292833,0.7389945464073804,0.26100545359261956,0.7924842495028918,0.2075157504971083,1.0
80,698.175,701.829,2.0,0.0,3,2,0.8484322695172822,0.2714776143079665,0.5738478485808268,0.1363201238860613,0.7507636267459299,0.24923637325407008,0.7903432552744214,0.20965674472557863,-1.0
81,717.339,720.852,1.0,0.0,1,1,0.8414059905435227,0.2701926269809273,0.6038902562830613,0.06931520218200493,0.7681738387252133,0.23182616127478672,0.7881467918611661,0.2118532081388339,1.0
82,727.044,734.683,1.0,1.0,2,1,0.8360767050336553,0.26960770514878474,0.5164630637227441,0.39853414402767207,0.6722111414159184,0.3277888585840817,0.7863190648412158,0.2136809351587842,1.0
83,740.875,742.042,1.0,1.0,2,1,0.8339397902980981,0.270285151422477,0.5377785904184587,0.27999936463372455,0.7053653791903043,0.2946346208096957,0.7852294416182449,0.21477055838175516,1.0
84,749.606,751.189,1.0,1.0,2,1,0.834406807848584,0.2685575738466792,0.5569625644446018,0.1940252497066819,0.7305728205780095,0.2694271794219904,0.786079459057616,0.21392054094238397,1.0
